path,filename,suffix,readable,row_count,column_count,matched_interest_columns,all_columns,sample,error
weather/output/attempt_performance_baseline_aggregate_metrics_v1.csv,attempt_performance_baseline_aggregate_metrics_v1.csv,.csv,True,5,11,model_name,model_name|primary_prediction_rows|pooled_primary_mae_mph|pooled_primary_rmse_mph|pooled_primary_r2|pooled_primary_mean_error_pred_minus_actual_mph|mean_primary_fold_mae_mph|mean_baseline_primary_fold_mae_mph|mean_fold_mae_improvement_vs_mean_baseline_mph|primary_mae_rank|model_policy_hash,model_name=MEAN_BASELINE || model_name=RANDOM_FOREST,
weather/output/attempt_performance_baseline_feature_set_v1.csv,attempt_performance_baseline_feature_set_v1.csv,.csv,True,16,7,,feature_name|feature_group|nonnull_rows|missing_rows|missing_pct|missingness_policy|baseline_v1,,
weather/output/attempt_performance_baseline_fold_metrics_v1.csv,attempt_performance_baseline_fold_metrics_v1.csv,.csv,True,20,14,model_name,fold_id|fold_role|test_year|train_years|model_name|train_rows|test_rows|mae_mph|rmse_mph|r2|mean_error_pred_minus_actual_mph|median_absolute_error_mph|max_absolute_error_mph|model_policy_hash,model_name=MEAN_BASELINE || model_name=RIDGE,
weather/output/attempt_performance_baseline_model_diagnostics_v1.csv,attempt_performance_baseline_model_diagnostics_v1.csv,.csv,True,144,8,model_name,fold_id|fold_role|test_year|model_name|diagnostic_type|feature_name|value|model_policy_hash,model_name=RIDGE || model_name=RIDGE,
weather/output/attempt_performance_baseline_predictions_v1.csv,attempt_performance_baseline_predictions_v1.csv,.csv,True,615,13,driver_name|attempt_id|model_name,fold_id|fold_role|model_name|test_year|attempt_id|session_id|car_number|driver_name|actual_speed_mph|predicted_speed_mph|residual_pred_minus_actual_mph|absolute_error_mph|model_policy_hash,driver_name=Graham Rahal; attempt_id=16cb7863-a6d0-5895-93e4-a76ac2c6c71f; model_name=MEAN_BASELINE || driver_name=Dalton Kellett; attempt_id=a6295479-1996-5baa-b116-ab56a03c118d; model_name=MEAN_BASELINE,
weather/output/attempt_performance_baseline_v1_qa.csv,attempt_performance_baseline_v1_qa.csv,.csv,True,16,3,,metric|value|status,,
weather/output/attempt_performance_feature_manifest_v1.csv,attempt_performance_feature_manifest_v1.csv,.csv,True,12,8,,feature_set_id|feature_name|feature_group|source_field|derivation|missingness_policy|included_v1|feature_set_hash,,
weather/output/attempt_performance_model_matrix_v1.csv,attempt_performance_model_matrix_v1.csv,.csv,True,123,22,year|driver_name|attempt_id,attempt_id|session_id|year|car_number|driver_name|forecast_temp_c|forecast_relative_humidity_pct|forecast_wind_speed_10m_ms|forecast_wind_direction_sin|forecast_wind_direction_cos|forecast_pressure_hpa|forecast_cloud_cover_pct|forecast_shortwave_radiation_wm2|prior_supported_attempt_count|seconds_since_prior_supported_attempt|best_prior_supported_average_speed_mph|has_prior_supported_attempt|four_lap_average_speed_mph|feature_set_id|validation_protocol_id|feature_set_hash|validation_protocol_hash,year=2020; driver_name=Graham Rahal; attempt_id=16cb7863-a6d0-5895-93e4-a76ac2c6c71f || year=2020; driver_name=Dalton Kellett; attempt_id=a6295479-1996-5baa-b116-ab56a03c118d,
weather/output/attempt_performance_modeling_column_audit.csv,attempt_performance_modeling_column_audit.csv,.csv,True,118,12,,column_name|category|v1_decision|reason|nonnull_rows|missing_rows|missing_pct|unique_nonnull_values|numeric_convertible_fraction|numeric_nonnull_rows|constant_numeric|abs_correlation_with_target,,
weather/output/attempt_performance_modeling_correlation_audit.csv,attempt_performance_modeling_correlation_audit.csv,.csv,True,120,5,,feature_a|feature_b|abs_pearson_correlation|high_redundancy_flag|review_flag,,
weather/output/attempt_performance_modeling_readiness_summary.csv,attempt_performance_modeling_readiness_summary.csv,.csv,True,13,3,,metric|value|status,,
weather/output/attempt_performance_prior_speed_diagnostics_v1.csv,attempt_performance_prior_speed_diagnostics_v1.csv,.csv,True,5,10,year,scope|year|rows|corr_current_vs_best_prior_speed|mae_if_best_prior_used_as_naive_prediction_mph|rmse_if_best_prior_used_as_naive_prediction_mph|mean_current_minus_best_prior_speed_mph|median_current_minus_best_prior_speed_mph|std_current_minus_best_prior_speed_mph|diagnostic_policy_hash,year=2020.0,
weather/output/attempt_performance_repeat_delta_context_v1.csv,attempt_performance_repeat_delta_context_v1.csv,.csv,True,40,41,year|driver_name,current_attempt_id|baseline_attempt_id|session_id|year|car_number|driver_name|current_performance_time_utc|baseline_performance_time_utc|seconds_since_baseline_attempt|prior_supported_attempt_count|prior_complete_attempt_count|baseline_is_immediately_previous_supported_attempt|baseline_speed_mph|current_speed_mph|target_speed_delta_vs_best_prior_mph|current_forecast_wind_direction_sin|current_forecast_wind_direction_cos|baseline_forecast_wind_direction_sin|baseline_forecast_wind_direction_cos|delta_forecast_wind_direction_sin|delta_forecast_wind_direction_cos|derivation_rule_version|current_temp_c|baseline_temp_c|delta_temp_c|current_relative_humidity_pct|baseline_relative_humidity_pct|delta_relative_humidity_pct|current_wind_speed_10m_ms|baseline_wind_speed_10m_ms|delta_wind_speed_10m_ms|current_pressure_hpa|baseline_pressure_hpa|delta_pressure_hpa|current_cloud_cover_pct|baseline_cloud_cover_pct|delta_cloud_cover_pct|current_shortwave_radiation_wm2|baseline_shortwave_radiation_wm2|delta_shortwave_radiation_wm2|input_lineage_hash,year=2020; driver_name=Jack Harvey || year=2020; driver_name=Scott Dixon,
weather/output/attempt_performance_repeat_delta_context_v1_qa.csv,attempt_performance_repeat_delta_context_v1_qa.csv,.csv,True,18,3,,metric|value|status,,
weather/output/attempt_performance_residual_diagnostics_v1.csv,attempt_performance_residual_diagnostics_v1.csv,.csv,True,615,34,year|attempt_id|model_name,fold_id|fold_role|model_name|test_year|attempt_id|session_id|car_number_prediction|driver_name_prediction|actual_speed_mph|predicted_speed_mph|residual_pred_minus_actual_mph|absolute_error_mph|model_policy_hash|year|car_number_matrix|driver_name_matrix|four_lap_average_speed_mph|forecast_temp_c|forecast_relative_humidity_pct|forecast_wind_speed_10m_ms|forecast_wind_direction_sin|forecast_wind_direction_cos|forecast_pressure_hpa|forecast_cloud_cover_pct|forecast_shortwave_radiation_wm2|prior_supported_attempt_count|seconds_since_prior_supported_attempt|best_prior_supported_average_speed_mph|has_prior_supported_attempt|_resolved_year|_resolved_car_number|_resolved_driver_name|_resolved_target|diagnostic_policy_hash,year=2020; attempt_id=16cb7863-a6d0-5895-93e4-a76ac2c6c71f; model_name=MEAN_BASELINE || year=2020; attempt_id=a6295479-1996-5baa-b116-ab56a03c118d; model_name=MEAN_BASELINE,
weather/output/attempt_performance_residual_feature_correlations_v1.csv,attempt_performance_residual_feature_correlations_v1.csv,.csv,True,60,9,model_name,model_name|feature_name|pooled_corr_feature_vs_residual|abs_pooled_corr_feature_vs_residual|within_year_corr_feature_vs_residual|abs_within_year_corr_feature_vs_residual|pooled_corr_feature_vs_actual_target|within_year_corr_feature_vs_actual_target|diagnostic_policy_hash,model_name=MEAN_BASELINE || model_name=MEAN_BASELINE,
weather/output/attempt_performance_residual_group_summary_v1.csv,attempt_performance_residual_group_summary_v1.csv,.csv,True,61,10,model_name,model_name|group_type|group_value|rows|mean_actual_speed_mph|mean_predicted_speed_mph|mean_residual_pred_minus_actual_mph|mae_mph|rmse_mph|diagnostic_policy_hash,model_name=MEAN_BASELINE || model_name=MEAN_BASELINE,
